source,utime,text,category
SABCizindaba,3/2/2020 16:25,"Bukela izindaba zesiZulu zehora lokuqala emini nezehora lesikhombisa kusihlwa, ozithola ku OfficialSABC1 httpsbit.ly39j7s1F",entertainment
SABCizindaba,7/19/2020 13:51,"Isiqhubeke isikhathi eside inkulumo mpikiswano malungana nodaba lokuvalwa kwezikole. Lokhu kwenzeka nje isibalo sabantu abahaqwe yiCORONAVIRUS siyenyuka. Mbukeli ukube ubungumeluleki kahulumeni, ubungameluleka uthini ngaloludaba Thumela iVideo kuWhatsapp ku081 534 8795.",politics
SABCizindaba,7/19/2020 6:40,"IZINDABA Udlulile emhlabeni uBaba uCyril Mbongwa obedume ngebhubesi lakwaMashu endimeni yezobuciko. Ubexinwe umkhuhlane, kwathi izolo wakhala ngokuthi akasakwazi ukuphefumula bathi bazama ukumphuthumisa esibhedlela ukufa kwavele kwamenela ekhona ekhaya KwaMashu. Udaba oluphelele uzoluthola ezindabeni zakusihlwa.",entertainment
SABCizindaba,7/18/2020 13:03,"IZINDABA Babalelwa ku 50 Thousand abanikazi bezindawo zokucima ukoma abansundu abafuna isinxephezelo kuhulumeni. Bathi ngenxa yokulahlekelwa inzuzo ngesikhathi se Lockdown, bafuna isinxephezelo sika R20 000 esizokhishwa kanye vo ebhizinisini ngalinye. Lokhu kuza nje ngeSonto eledlule uMengameli waphinde wakumisa ukuthengiswa kotshwala.",business
SABCizindaba,7/17/2020 10:16,"Kusasa sibungaza usuku I Mandela Day lapho kunxenxwa khona abantu ukuba banikele ngesikhathi sabo ukusiza abahluphekayo. Kepha kulonyaka lolusuku lubungazwa ngaphansi kwesimo esibucayi se COVID19, yini wena ozoyenza ngakini ukubungaza lolusuku thumela i video ye WhatsApp ku 081 534 8795",politics
SABCizindaba,7/17/2020 6:16,EZINDABENI Iyaqhubeka inkonzo yomngcwabo kaZindzi Mandela e Fourways Memorial Park eGoli. Uzongcwatshwa eduze kweliba likaNina ongasekho uWinnie MadikizelaMandela. Emva kokushona kwakhe kwahlaluka ukuthi unqotshwe iCovid19.,politics
SABCizindaba,7/16/2020 21:27,KWEZEMIDLALO IReal Madrid isingoMpetha beSeason ka20192020 ye LaLiga. Lokhu kulandela ukushaya iVillarreal ngo 2  1. Lesi yisicoco sayo se LaLiga samashumi amathathu nane 34.,sport
SABCizindaba,7/16/2020 16:17,"ISANDLA SEDLUL IKHANDA Amaphoyisa ase Nkandla abonga kakhulu ezindabeni zesiZulu kwa SABC ngokusukumela udaba lwaleNkabendala, bafikile abakubo bayithatha. BekungeyasObuka eMelmoth. Kusheshe kwahlangana impela. Nathi ezindabeni zesiZulu siyabonga emaphoyiseni ase Nkandla ngokuqinisekisa ukuthi uphephile uMkhulu. Siyabonga Ephoyiseni uDetective Sergeant Nhlakanipho Nxumalo.",other
SABCizindaba,7/16/2020 9:08,IZINDABA Akasekho emhlabeni owabe eyiphini likaSihlalo weANC eTshwane uMapiti Matsena. Imibiko ithi ugwazwe washona esemzini wakhe namhlanje ekuseni.,politics
SABCizindaba,7/15/2020 19:22,"NIWUHLABE NIWULAWULE U Zwalifani Myeni usemaphoyiseni aseNkandla ugcinwe khona uthi ubuya e Pietermaritzburg, eNongoma, ePort Elizabeth. Ubukeka engumntomdala oselibele lapho ephuma khona njengoba ebiza lezindawo ezingahlangani nje nhlobo. Uma umazi, umfanisa, noma wazana nezihlobo zakhe xhumana namaphoyisa aseNkandla ku 0358330053 Nxumalo. Siyanxusa ukuthi sibanakekele asebekhulile. Siyabonga.",other
SABCizindaba,7/15/2020 18:27,KWEZINGENA MANJE UZindzi Mandela obeyinxusa laseNingizimu Afrika eDenmark uzofihlwa ngoLwesihlanu ekuseni. Kusanda kuhlaluka ukuthi watholakala eneCovid19 ngosuku ashona ngalo. Umndeni usalinde imiphumela yokuhlolwa kwesidumbu ngenhloso yokuhlonza imbangela yokushona kwakhe.,politics
SABCizindaba,7/15/2020 13:34,"Inyunyana yothisha iSADTU isiphakamise ukuthi zivalwe izikole, lokhu kwenzeka nje uhlehliselwe umhlangano obekufanele ube phakathi komnyango wemfundo eyisisekelo nezinyunyana zothisha. Ngokwakho ukubona ingabe kufanele zivalwe izikole Thumela iVideo kuWhatsapp ku081 534 8795.",politics
SABCizindaba,7/14/2020 19:16,KWEZINGENA MANJE UNgqongqoshe wezamandla namagugu ambiwayo uGwede Mantashe nowakwakhe uNolwandle Mantashe sebehaqwe yiCovid19. Kumanje bahleli ngabodwana okuzothatha izinsuku ezingu14. Lezindaba ziqinisekiswe esitatimendeni esikhishwe umnyango kaHulumeni wezokuxhumana.,politics
SABCizindaba,7/14/2020 16:15,EZEMIDLALO Ingase ibuyele ezinkundleni imidlalo yePSL ekuqaleni kukaNcwaba. ISAFA ithi sebelinde uhulumeni ukubanika imvume. Uma konke kuhamba ngohlelo yonke imidlalo esele yeSeason ka20192020 izosingathwa eGauteng.,sport
SABCizindaba,7/14/2020 9:32,KWEZISANDA KUNGENA Omunye wabaholi beDA KwaZuluNatal uMbali Ntuli useqinisekise ukuthi usehaqwe yiCovid19. UNtuli omele i DA esishayamthetho saKwaZuluNatal usembangweni wokuba ngumholi waleliqembu kuzwelonke. Utheleleka nje siyanda isibalo sosombusazwe abaqavile abatheleleka ngalolubhubhane.,politics
SABCizindaba,7/13/2020 10:04,"UMBUZO WESIBILI INingizimu Africa namhlanje ivuke ngezindaba zokushona kwe Ndodakazi yowabe engumengameli wezwe u Baba u Nelson Mandela, u Zindzi obeyi Nxusa lakulelizwe e Denmark. Sicele usitshele ngokukhumbulayo ngo Zindzi Mandela.Thumela iVideo kuWhatsapp ku081 534 8795",politics
SABCizindaba,7/13/2020 9:59,"UMBUZO WOKUQALA Njengoba umengameli wezwe ememezele ukuthi amatekisi angabagcwalisa abagibeli kepha kufanele itekisi ivulwe amafasitela ukuze kungene umoya, lokhu ke kuthanda ukudida njengoba ososayensi bethi iCORONAVIRUS kungenzeka itholakale nasemoyeni. Uthini umbono wakho Thumela iVideo kuWhatsapp ku081 534 8795",politics
SABCizindaba,7/13/2020 8:14,ESIVUKA NAZO Udlulile emhlabeni uZindzi Mandela oyindodakazi kaBaba uNelson Mandela ongasekho kanye noMama uWinnie MadikezelaMandela naye ongasekho. Ubelinxusa laseNingizimu Afrika e Denmark. Ubeneminyaka engu59.,politics
SABCizindaba,7/10/2020 11:00,UMBUZO Kuthini ukuphawula kwakho mayelana ngezinsolo ezithi kunenqwaba yamathuna agujiwe ukungcwaba abantu abangase bathathwe ubhubhane iCOVID19 Thumela iVideo kuWhatsapp ku081 534 8795,other
SABCizindaba,7/8/2020 10:28,"Mbukeli siphila esikhathini esinzima lapho singazi ngempela ukuthi liyoshona umuntu ene CORONAVIRUS noma cha, ake sizwe kuwe, ekukhathazayo nonexhala nokhwantalala ngayo ngalolubhubhane lwesifo Thumela iVideo kuWhatsapp ku081 534 8795",other
SABCizindaba,7/8/2020 8:58,KWEZISANDA KUNGENA Akasekho emhlabeni okhulumela i ANC KwaZuluNatal u Ricardo Mthembu. Udlule emhlabeni ngenxa yesifo i Covid19. Lezindaba zivele namhlanje ekuseni.,politics
SABCizindaba,7/6/2020 10:21,"UMBUZO Ingabe uyisile ingane yakho esikoleni namhlanje, ujabule ngezinhlelo zokuvikeleka kwabafundi egciwaneni i CORONA ofike wazibona uma kungukuthi uzihambisele wena ingane yakho esikoleni Thumela iVideo kuWhatsapp ku081 534 8795",other
SABCizindaba,7/5/2020 16:14,"Siyaqala kusasa isigaba sesibili sokuvulwa kwezikole njengoba kuzovula amabanga , u Grade R, 6 no 12. Ingabe wena eyakho ingane uzoyisa esikoleni Sicela weseke impendulo yakho. Thumela iVideo kuWhatsapp ku081 534 8795",other
SABCizindaba,7/3/2020 13:36,Namhlanje singene osukwini lwekhulu selokhu izwe lavala ukusebenza kwezinye izinhlaka zomnotho ukunqanda ukubhebhetheka kwe CORONAVIRUS. Njengamanje izwe lisesigabeni sesithathu se LOCKDOWN. Njengoba senyuka nje isibalo sabantu abane CORONAVIRUS ingabe kufanele sehlele kwezinye izigaba ezixegisiwe ze LOCKDOWN noma sibuyele emumva Thumela iVideo kuWhatsapp ku081 534 8795.,other
